dataset,flows,attacks,precision,recall,fpr,f1,tp,fp,fn,tn
test,227325,52056,0.99974904928286,0.9948901183341018,7.41717017841147e-05,0.9973136656428426,51790.0,13.0,266.0,175256.0
monday,500530,0,0.0,,1.9978822448204903e-06,0.0,0.0,1.0,0.0,500529.0
thursday,426958,2111,0.056703986480369374,0.8900994789199431,0.07357472219410753,0.10661597821152974,1879.0,31258.0,232.0,393589.0
shuffled,227325,52056,0.9997876488870872,0.9948901183341018,6.276067074040475e-05,0.9973328711593826,51790.0,11.0,266.0,175258.0
