epoch,train_loss,val_loss,val_f1,val_auc,val_acc,lr
1,0.6098956167697906,0.5887412428855896,0.8455123159357012,0.838754541724755,0.8623636363636363,0.001
2,0.48058490455150604,0.5332159996032715,0.8595899504220129,0.8808960483482987,0.8701818181818182,0.001
3,0.42476019263267517,0.47013622522354126,0.8799071085674209,0.9082545627946121,0.8791818181818182,0.001
4,0.3856879025697708,0.41972559690475464,0.8931881945143505,0.9251754138763737,0.8891818181818182,0.001
5,0.3660631626844406,0.36427921056747437,0.9009247376844197,0.9392557482667117,0.895090909090909,0.001
6,0.3319609686732292,0.31966152787208557,0.9054671760906187,0.9494572536494749,0.8983636363636364,0.001
7,0.3058219328522682,0.2880887985229492,0.9128079914764556,0.9579835224938282,0.9061818181818182,0.001
8,0.2911190614104271,0.25490713119506836,0.9129738858676327,0.964911518305609,0.9052727272727272,0.001
9,0.2718043625354767,0.2323933243751526,0.9103000430850903,0.9704601700688633,0.9011818181818182,0.001
10,0.2566249296069145,0.2179100513458252,0.9175327505769828,0.9742903116114812,0.9098181818181819,0.001
11,0.24597185477614403,0.20927472412586212,0.9197810282145106,0.9754032097586214,0.9124545454545454,0.001
12,0.23264268785715103,0.1977456957101822,0.9180659053801099,0.9788166729290962,0.91,0.001
13,0.22249343618750572,0.1865127831697464,0.9251853869096478,0.9807847292698941,0.9184545454545454,0.001
14,0.21343988925218582,0.17887946963310242,0.9284789265338936,0.9819094792116595,0.9223636363636364,0.001
15,0.2081553377211094,0.1721295565366745,0.9238170365217627,0.9840596288661725,0.9165454545454546,0.001
16,0.1967676728963852,0.1625394970178604,0.9320340587559884,0.9855418347865682,0.9261818181818182,0.001
17,0.19278278201818466,0.1548239290714264,0.9408395123190058,0.9862259467096492,0.9367272727272727,0.001
18,0.18567746505141258,0.15076938271522522,0.9390174581376178,0.9870530117604919,0.9344545454545454,0.001
19,0.17921657115221024,0.14704999327659607,0.9399465265671457,0.9877892496321554,0.9353636363636364,0.001
20,0.1709124520421028,0.1397646814584732,0.9504522992439768,0.9886447736219435,0.9474545454545454,0.001
21,0.16698477044701576,0.13790294528007507,0.9440704458308771,0.9890530752627001,0.9400909090909091,0.001
22,0.16767404600977898,0.13176725804805756,0.9527284186646943,0.9895853817916637,0.95,0.001
23,0.15894323587417603,0.1277104616165161,0.956865238197021,0.990187372483469,0.9546363636363636,0.001
24,0.15684537962079048,0.1266956329345703,0.9533660380458028,0.9903878287629301,0.9506363636363636,0.001
25,0.1548391953110695,0.12434076517820358,0.9594912190668853,0.9904242620575184,0.9575454545454546,0.001
26,0.14848249033093452,0.12084511667490005,0.9606131354580286,0.990885128602214,0.9588181818181818,0.001
27,0.14393312856554985,0.11801200360059738,0.9577296622812489,0.9914178375069209,0.9555454545454546,0.001
28,0.14059927687048912,0.11549584567546844,0.9592736701646273,0.9917105109908568,0.9572727272727273,0.001
29,0.14019673317670822,0.11427384614944458,0.9608240345705342,0.9917991799728667,0.959,0.001
